Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Daylight/Dark,Weather Conditions,Local Authority ,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
1,08/07/2016,330,3,1,4,Dark,1,Calderdale,19,2,3,1,26
2,06/07/2016,800,3,1,1,Daylight,1,Calderdale,9,1,3,2,27
1,08/07/2016,1134,4,2,1,Daylight,1,Calderdale,3,1,3,1,21
2,09/07/2016,1155,3,2,1,Daylight,2,Calderdale,9,1,3,2,30
1,09/07/2016,1520,3,1,1,Daylight,1,Calderdale,11,2,3,2,53
1,09/07/2016,2135,6,2,1,Daylight,2,Calderdale,9,3,2,1,52
2,10/07/2016,1310,3,1,1,Daylight,1,Calderdale,9,2,3,2,40
3,10/07/2016,1548,6,2,1,Daylight,2,Calderdale,9,1,3,2,42
2,11/07/2016,1630,3,1,1,Daylight,1,Calderdale,4,1,2,1,75
2,11/07/2016,1812,6,1,1,Daylight,1,Calderdale,1,1,2,1,10
4,12/07/2016,945,3,1,1,Daylight,1,Calderdale,9,1,3,1,76
4,12/07/2016,945,3,1,1,Daylight,1,Calderdale,9,2,3,1,21
2,14/07/2016,822,3,1,1,Daylight,1,Calderdale,3,1,3,2,45
2,15/07/2016,752,6,1,1,Daylight,1,Calderdale,1,1,3,1,11
2,15/07/2016,1328,3,1,1,Daylight,1,Calderdale,9,1,3,1,53
2,15/07/2016,1328,3,1,1,Daylight,1,Calderdale,9,2,3,2,19
2,15/07/2016,1328,3,1,1,Daylight,1,Calderdale,8,1,3,1,53
2,16/07/2016,305,1,2,4,Dark,5,Calderdale,21,1,3,1,51
2,16/07/2016,305,1,2,4,Dark,5,Calderdale,11,1,2,1,35
2,16/07/2016,305,1,2,4,Dark,5,Calderdale,11,2,2,1,22
2,16/07/2016,1609,3,1,1,Daylight,1,Calderdale,9,2,3,1,2
2,16/07/2016,1609,3,1,1,Daylight,1,Calderdale,9,2,3,2,6
3,16/07/2016,2145,6,1,4,Dark,1,Calderdale,9,1,3,1,43
2,17/07/2016,1316,3,1,1,Daylight,1,Calderdale,1,1,1,1,32
2,17/07/2016,1316,3,1,1,Daylight,1,Calderdale,1,1,2,1,61
2,18/07/2016,1825,1,1,1,Daylight,1,Calderdale,9,1,3,2,38
2,19/07/2016,755,3,1,1,Daylight,1,Calderdale,11,2,3,2,49
2,19/07/2016,1730,6,1,1,Daylight,1,Calderdale,19,2,3,2,20
2,18/07/2016,1839,6,1,1,Daylight,1,Calderdale,9,2,3,2,36
2,18/07/2016,1839,6,1,1,Daylight,1,Calderdale,9,2,3,2,7
2,18/07/2016,1839,6,1,1,Daylight,1,Calderdale,9,2,3,2,8
2,21/07/2016,945,6,1,1,Daylight,1,Calderdale,9,2,3,2,12
2,22/07/2016,2220,3,1,4,Dark,1,Calderdale,4,3,3,1,36
1,23/07/2016,1403,6,1,1,Daylight,1,Calderdale,9,3,3,2,31
1,23/07/2016,1403,6,1,1,Daylight,1,Calderdale,9,3,3,2,1
2,23/07/2016,1340,3,1,1,Daylight,1,Calderdale,9,1,3,2,49
2,24/07/2016,131,3,1,1,Daylight,1,Calderdale,19,1,2,1,26
2,24/07/2016,131,3,1,1,Daylight,1,Calderdale,19,2,3,2,15
2,24/07/2016,131,3,1,1,Daylight,1,Calderdale,8,1,3,1,43
2,24/07/2016,131,3,1,1,Daylight,1,Calderdale,19,2,3,2,20
2,24/07/2016,1234,6,1,1,Daylight,1,Calderdale,9,1,3,1,22
2,26/07/2016,639,6,2,1,Daylight,2,Calderdale,9,1,3,2,44
2,26/07/2016,750,1,1,1,Daylight,1,Calderdale,9,1,3,1,33
2,26/07/2016,750,1,1,1,Daylight,1,Calderdale,9,1,3,1,37
2,27/07/2016,1110,3,1,1,Daylight,1,Calderdale,9,1,3,2,27
2,28/07/2016,1015,3,1,1,Daylight,1,Calderdale,9,1,3,1,53
2,28/07/2016,1015,3,1,1,Daylight,1,Calderdale,9,1,3,2,68
3,28/07/2016,1618,1,2,1,Daylight,2,Calderdale,9,1,3,2,21
3,29/07/2016,1850,6,1,1,Daylight,1,Calderdale,9,1,3,2,24
3,29/07/2016,1850,6,1,1,Daylight,1,Calderdale,9,2,3,2,2
1,29/07/2016,2018,3,1,1,Daylight,1,Calderdale,9,2,3,2,20
1,29/07/2016,2018,3,1,1,Daylight,1,Calderdale,9,2,3,1,17
1,30/07/2016,522,3,1,1,Daylight,1,Calderdale,9,3,2,2,20
2,05/08/2016,1450,3,1,1,Daylight,1,Calderdale,9,1,3,2,20
2,05/08/2016,1450,3,1,1,Daylight,1,Calderdale,9,2,3,2,27
2,05/08/2016,1730,3,1,1,Daylight,1,Calderdale,5,1,3,1,46
1,07/08/2016,57,6,1,4,Dark,1,Calderdale,9,1,2,1,34
1,07/08/2016,57,6,1,4,Dark,1,Calderdale,9,2,2,1,20
1,07/08/2016,57,6,1,4,Dark,1,Calderdale,9,2,2,1,24
1,07/08/2016,1732,6,1,1,Daylight,1,Calderdale,1,1,2,1,14
2,09/08/2016,1825,3,1,1,Daylight,1,Calderdale,9,1,3,1,20
2,09/08/2016,1825,3,1,1,Daylight,1,Calderdale,9,2,3,1,14
1,10/08/2016,120,3,2,4,Dark,2,Calderdale,5,1,1,1,21
2,11/08/2016,1755,3,1,1,Daylight,1,Calderdale,9,1,3,2,37
2,11/08/2016,1815,6,1,1,Daylight,1,Calderdale,22,1,3,1,50
1,12/08/2016,1600,6,1,1,Daylight,1,Calderdale,2,3,3,1,64
1,13/08/2016,45,3,2,4,Dark,2,Calderdale,8,3,2,1,38
2,14/08/2016,1655,3,1,1,Daylight,1,Calderdale,1,1,2,1,51
2,15/08/2016,2110,4,1,4,Dark,1,Calderdale,5,1,3,2,35
2,16/08/2016,1720,4,1,1,Daylight,1,Calderdale,11,2,3,1,13
2,16/08/2016,1720,4,1,1,Daylight,1,Calderdale,11,2,3,2,34
2,16/08/2016,1720,4,1,1,Daylight,1,Calderdale,11,2,3,2,17
2,16/08/2016,1720,4,1,1,Daylight,1,Calderdale,11,2,3,1,60
2,17/08/2016,1135,6,1,1,Daylight,1,Calderdale,11,3,3,1,48
2,18/08/2016,735,4,1,1,Daylight,1,Calderdale,3,1,3,1,51
1,18/08/2016,1932,3,1,1,Daylight,1,Calderdale,19,1,3,1,32
2,19/08/2016,1120,3,2,1,Daylight,2,Calderdale,9,1,3,2,27
4,19/08/2016,1904,1,1,1,Daylight,1,Calderdale,9,1,3,1,23
2,19/08/2016,2314,3,2,4,Dark,1,Calderdale,9,1,3,1,20
2,19/08/2016,2314,3,2,4,Dark,1,Calderdale,9,2,3,2,18
3,21/08/2016,1815,6,1,1,Daylight,1,Calderdale,2,1,3,1,12
3,21/08/2016,1815,6,1,1,Daylight,1,Calderdale,2,1,3,1,13
2,21/08/2016,2250,6,1,4,Dark,9,Calderdale,9,1,3,1,34
3,23/08/2016,2054,3,1,4,Dark,1,Calderdale,9,1,2,1,26
3,23/08/2016,2054,3,1,4,Dark,1,Calderdale,9,2,2,1,25
3,23/08/2016,2054,3,1,4,Dark,1,Calderdale,9,1,2,2,54
2,23/08/2016,1620,3,1,1,Daylight,1,Calderdale,9,1,3,1,40
2,24/08/2016,2220,3,1,4,Dark,1,Calderdale,9,1,3,1,46
1,25/08/2016,1701,6,2,1,Daylight,2,Calderdale,19,3,3,2,50
2,26/08/2016,1835,6,1,1,Daylight,1,Calderdale,9,1,3,2,36
2,26/08/2016,1835,6,1,1,Daylight,1,Calderdale,9,2,3,2,19
2,26/08/2016,1835,6,1,1,Daylight,1,Calderdale,9,2,3,1,15
3,28/08/2016,1830,3,1,1,Daylight,1,Calderdale,9,1,2,1,49
3,28/08/2016,1830,3,1,1,Daylight,1,Calderdale,9,2,2,2,28
3,28/08/2016,1830,3,1,1,Daylight,1,Calderdale,9,1,3,2,58
2,29/08/2016,1910,6,1,1,Daylight,1,Calderdale,9,1,3,1,45
2,29/08/2016,1910,6,1,1,Daylight,1,Calderdale,9,2,3,1,30
2,29/08/2016,1910,6,1,1,Daylight,1,Calderdale,9,2,3,1,24
1,30/08/2016,700,6,1,1,Daylight,1,Calderdale,9,3,3,1,32
1,29/08/2016,1330,6,1,1,Daylight,1,Calderdale,17,1,3,1,28
2,03/09/2016,1528,4,2,1,Daylight,2,Calderdale,9,1,3,2,37
2,03/09/2016,1528,4,2,1,Daylight,2,Calderdale,9,2,3,2,36
2,03/09/2016,1550,6,2,1,Daylight,2,Calderdale,9,1,3,2,26
1,03/09/2016,2213,3,2,1,Daylight,2,Calderdale,9,3,2,1,60
2,06/09/2016,1439,3,1,1,Daylight,1,Calderdale,9,1,3,2,85
2,06/09/2016,2040,3,1,4,Dark,1,Calderdale,9,1,1,1,30
2,06/09/2016,2040,3,1,4,Dark,1,Calderdale,9,2,1,2,26
1,07/09/2016,1131,3,1,1,Daylight,1,Calderdale,11,2,3,2,65
1,09/09/2016,1119,6,1,1,Daylight,1,Calderdale,8,3,3,1,61
1,09/09/2016,1700,6,1,1,Daylight,1,Calderdale,9,3,3,2,55
2,10/09/2016,2035,6,1,1,Daylight,1,Calderdale,9,2,3,1,9
2,11/09/2016,1715,3,1,1,Daylight,1,Calderdale,9,1,2,1,28
2,11/09/2016,2007,3,1,4,Dark,1,Calderdale,9,2,2,1,19
2,11/09/2016,2007,3,1,4,Dark,1,Calderdale,9,1,3,1,35
2,13/09/2016,1144,3,1,1,Daylight,1,Calderdale,5,1,3,1,47
3,13/09/2016,1905,6,1,1,Daylight,1,Calderdale,1,1,3,1,14
2,14/09/2016,1910,3,1,1,Daylight,1,Calderdale,1,1,3,2,52
2,15/09/2016,820,3,1,1,Daylight,1,Calderdale,1,1,3,1,60
2,15/09/2016,1840,3,1,1,Daylight,1,Calderdale,1,1,3,1,14
2,16/09/2016,1108,6,1,1,Daylight,1,Calderdale,9,1,3,2,52
2,16/09/2016,1108,6,1,1,Daylight,1,Calderdale,9,2,3,2,55
1,17/09/2016,1315,6,1,1,Daylight,1,Calderdale,9,3,3,1,1
3,19/09/2016,1514,6,1,1,Daylight,1,Calderdale,9,1,3,1,26
1,19/09/2016,1645,3,1,1,Daylight,1,Calderdale,1,1,3,1,55
2,20/09/2016,1655,3,1,1,Daylight,1,Calderdale,9,1,3,1,63
1,22/09/2016,1613,6,1,1,Daylight,1,Calderdale,9,3,3,1,11
2,23/09/2016,1125,1,1,1,Daylight,1,Calderdale,9,1,3,2,56
1,23/09/2016,1310,3,1,1,Daylight,1,Calderdale,19,3,3,1,19
2,26/09/2016,1529,6,2,1,Daylight,2,Calderdale,2,1,3,1,16
2,28/09/2016,810,6,1,1,Daylight,1,Calderdale,9,1,3,2,55
2,28/09/2016,2019,3,1,4,Dark,1,Calderdale,1,1,2,1,37
2,29/09/2016,2200,4,1,4,Dark,1,Calderdale,9,1,1,1,18
2,29/09/2016,2200,4,1,4,Dark,1,Calderdale,9,2,3,1,72
1,01/10/2016,1529,6,1,1,Daylight,1,Calderdale,9,3,3,2,24
2,01/10/2016,2255,3,1,4,Dark,1,Calderdale,9,1,3,2,18
1,03/10/2016,945,6,1,1,Daylight,1,Calderdale,9,3,3,1,43
2,03/10/2016,1330,3,1,1,Daylight,8,Calderdale,9,2,3,2,11
1,03/10/2016,1337,4,1,1,Daylight,1,Calderdale,9,3,3,2,35
2,04/10/2016,700,6,1,1,Daylight,1,Calderdale,1,1,3,1,51
1,05/10/2016,845,6,1,1,Daylight,1,Calderdale,9,3,3,1,13
2,05/10/2016,1555,3,1,1,Daylight,1,Calderdale,9,1,3,1,23
2,09/10/2016,1945,6,1,4,Dark,1,Calderdale,3,1,3,1,23
1,06/10/2016,858,6,1,1,Daylight,1,Calderdale,10,3,3,1,5
2,08/10/2016,458,1,1,4,Dark,1,Calderdale,9,1,3,1,28
2,08/10/2016,1121,3,1,1,Daylight,1,Calderdale,9,2,3,2,62
2,08/10/2016,1121,3,1,1,Daylight,1,Calderdale,9,1,3,1,54
2,08/10/2016,1121,3,1,1,Daylight,1,Calderdale,9,2,3,2,48
2,08/10/2016,1153,4,2,1,Daylight,1,Calderdale,19,1,3,1,38
2,08/10/2016,1153,4,2,1,Daylight,1,Calderdale,9,2,3,2,29
2,08/10/2016,1153,4,2,1,Daylight,1,Calderdale,9,2,3,2,25
2,15/10/2016,1605,3,1,1,Daylight,1,Calderdale,9,1,3,1,86
2,16/10/2016,1821,3,1,1,Daylight,1,Calderdale,9,1,3,2,22
2,16/10/2016,1821,3,1,1,Daylight,1,Calderdale,9,2,3,2,24
1,18/10/2016,1335,3,2,1,Daylight,2,Calderdale,9,3,3,1,51
2,18/10/2016,1740,1,1,1,Daylight,1,Calderdale,9,1,3,1,48
2,18/10/2016,1905,6,2,4,Dark,1,Calderdale,9,2,3,2,10
2,18/10/2016,1905,6,2,4,Dark,1,Calderdale,9,2,3,2,32
2,19/10/2016,1915,6,1,4,Dark,1,Calderdale,8,2,3,2,20
2,21/10/2016,1216,3,1,1,Daylight,1,Calderdale,9,1,3,1,72
1,22/10/2016,930,3,1,1,Daylight,1,Calderdale,9,1,3,2,78
2,26/10/2016,739,3,1,1,Daylight,1,Calderdale,1,1,2,1,46
1,26/10/2016,1012,6,1,1,Daylight,1,Calderdale,9,1,3,2,79
1,26/10/2016,1125,6,2,1,Daylight,1,Calderdale,9,1,3,2,49
2,26/10/2016,1700,3,1,1,Daylight,1,Calderdale,4,1,3,1,33
4,27/10/2016,1735,1,1,1,Daylight,1,Calderdale,9,2,3,1,
4,27/10/2016,1735,1,1,1,Daylight,1,Calderdale,9,1,3,2,20
1,26/10/2016,2150,6,1,4,Dark,1,Calderdale,9,3,3,1,40
1,28/10/2016,1300,6,1,1,Daylight,1,Calderdale,19,3,3,1,25
2,31/10/2016,1740,6,1,1,Daylight,1,Calderdale,11,2,3,1,64
1,31/10/2016,1800,3,1,4,Dark,1,Calderdale,9,3,3,1,27
2,02/11/2016,2250,3,2,4,Dark,1,Calderdale,9,2,3,2,52
2,04/11/2016,726,4,1,1,Daylight,1,Calderdale,3,1,2,1,21
2,04/11/2016,1000,6,1,1,Daylight,1,Calderdale,9,1,3,2,41
2,04/11/2016,1340,1,1,1,Daylight,1,Calderdale,9,1,3,1,44
1,27/10/2016,900,6,1,1,Daylight,1,Calderdale,9,3,3,2,74
3,09/11/2016,540,1,3,4,Dark,3,Calderdale,8,1,3,1,58
2,10/11/2016,1610,6,2,1,Daylight,1,Calderdale,9,3,3,2,36
1,10/11/2016,1805,3,2,4,Dark,1,Calderdale,9,3,3,2,22
2,10/11/2016,1245,3,1,1,Daylight,1,Calderdale,9,2,3,2,82
2,10/11/2016,1420,6,1,1,Daylight,1,Calderdale,9,1,3,2,25
1,12/11/2016,1250,1,2,1,Daylight,1,Calderdale,9,1,3,2,38
2,12/11/2016,2330,3,1,4,Dark,1,Calderdale,9,2,3,1,15
2,12/11/2016,2330,3,1,4,Dark,1,Calderdale,9,1,3,2,19
2,14/11/2016,1717,3,2,4,Dark,1,Calderdale,1,1,3,1,54
2,14/11/2016,1858,6,2,4,Dark,1,Calderdale,9,1,3,1,50
2,14/11/2016,1858,6,2,4,Dark,1,Calderdale,9,1,3,2,22
2,16/11/2016,1205,3,2,1,Daylight,1,Calderdale,1,1,3,1,24
2,20/11/2016,1440,1,1,1,Daylight,1,Calderdale,9,1,3,1,48
2,20/11/2016,1440,1,1,1,Daylight,1,Calderdale,9,2,3,2,49
2,20/11/2016,1440,1,1,1,Daylight,1,Calderdale,9,2,3,2,17
2,21/11/2016,720,6,2,4,Dark,2,Calderdale,3,1,3,1,26
1,21/11/2016,1800,6,2,4,Dark,5,Calderdale,9,3,3,2,24
2,21/11/2016,1454,3,1,7,Dark,1,Calderdale,9,1,3,2,47
2,21/11/2016,1454,3,1,7,Dark,1,Calderdale,9,2,3,2,16
3,24/11/2016,1123,3,1,1,Daylight,1,Calderdale,9,1,3,2,30
1,25/11/2016,1730,3,1,4,Dark,1,Calderdale,9,3,3,2,33
1,26/11/2016,1726,4,1,1,Daylight,1,Calderdale,9,3,3,1,69
2,26/11/2016,1430,3,1,1,Daylight,1,Calderdale,1,1,3,1,41
3,28/11/2016,1400,3,1,1,Daylight,1,Calderdale,5,1,3,1,61
2,23/11/2016,1700,3,1,4,Dark,1,Calderdale,9,1,3,2,81
1,29/11/2016,539,3,2,4,Dark,1,Calderdale,21,3,2,2,52
1,29/11/2016,1415,3,1,1,Daylight,1,Calderdale,9,1,3,1,87
1,29/11/2016,1415,3,1,1,Daylight,1,Calderdale,9,2,2,2,87
1,28/11/2016,1530,6,1,1,Daylight,1,Calderdale,90,3,3,1,39
3,29/11/2016,1629,3,1,1,Daylight,1,Calderdale,19,1,3,1,48
3,29/11/2016,1629,3,1,1,Daylight,1,Calderdale,19,1,3,1,40
1,30/11/2016,1128,3,1,1,Daylight,1,Calderdale,9,3,2,2,82
2,30/11/2016,1312,3,2,1,Daylight,1,Calderdale,19,1,3,1,66
3,30/11/2016,1625,1,2,4,Dark,1,Calderdale,9,1,3,1,45
2,01/12/2016,1650,6,1,4,Dark,1,Calderdale,1,1,3,1,36
2,01/12/2016,1630,4,2,4,Dark,1,Calderdale,9,2,2,1,29
2,01/12/2016,1630,4,2,4,Dark,1,Calderdale,9,1,2,1,39
2,01/12/2016,1630,4,2,4,Dark,1,Calderdale,9,1,2,1,29
1,02/12/2016,904,6,1,1,Daylight,1,Calderdale,9,3,3,2,72
2,02/12/2016,1511,3,1,1,Daylight,1,Calderdale,9,1,3,1,43
1,03/12/2016,836,4,2,1,Daylight,1,Calderdale,8,1,3,1,38
2,04/12/2016,1134,3,2,1,Daylight,1,Calderdale,9,2,3,2,33
1,04/12/2016,1330,6,1,1,Daylight,1,Calderdale,9,1,1,1,80
1,06/12/2016,1115,6,1,1,Daylight,1,Calderdale,9,3,3,2,82
2,07/12/2016,1800,6,1,4,Dark,1,Calderdale,9,1,3,2,38
2,08/12/2016,1815,6,1,4,Dark,1,Calderdale,1,1,3,1,29
2,08/12/2016,1615,1,2,4,Dark,7,Calderdale,9,2,2,1,36
1,08/12/2016,1829,6,1,4,Dark,1,Calderdale,9,3,3,1,21
2,08/12/2016,2058,6,1,4,Dark,1,Calderdale,9,1,3,2,35
2,08/12/2016,2058,6,1,4,Dark,1,Calderdale,9,2,3,2,49
2,08/12/2016,2058,6,1,4,Dark,1,Calderdale,9,2,3,2,7
2,08/12/2016,2058,6,1,4,Dark,1,Calderdale,9,2,3,1,18
1,09/12/2016,2045,3,2,4,Dark,1,Calderdale,9,1,3,1,43
2,11/12/2016,2115,6,2,4,Dark,1,Calderdale,9,1,3,2,51
2,11/12/2016,2115,6,2,4,Dark,1,Calderdale,9,2,3,2,45
1,12/12/2016,1318,6,1,1,Daylight,1,Calderdale,9,3,2,2,72
3,14/12/2016,2039,3,1,4,Dark,1,Calderdale,9,1,1,1,29
3,15/12/2016,1609,1,1,4,Dark,1,Calderdale,9,1,3,1,53
2,14/12/2016,1800,6,1,4,Dark,1,Calderdale,9,2,3,2,59
2,16/12/2016,1730,3,1,4,Dark,1,Calderdale,5,1,3,1,50
1,16/12/2016,2238,6,1,4,Dark,1,Calderdale,9,3,3,1,15
2,18/12/2016,405,3,1,4,Dark,1,Calderdale,8,1,3,1,32
2,18/12/2016,1700,3,1,4,Dark,1,Calderdale,5,1,3,1,33
1,19/12/2016,1000,1,1,1,Daylight,1,Calderdale,9,1,3,2,34
2,19/12/2016,1643,3,2,4,Dark,1,Calderdale,3,1,3,1,17
2,19/12/2016,1710,3,2,4,Dark,1,Calderdale,3,1,3,1,17
1,22/12/2016,1555,3,1,1,Daylight,1,Calderdale,8,3,3,1,82
2,23/12/2016,1800,6,2,4,Dark,5,Calderdale,9,1,3,1,22
1,23/12/2016,2050,3,2,4,Dark,2,Calderdale,8,3,2,1,26
2,24/12/2016,1325,6,2,1,Daylight,2,Calderdale,9,1,3,2,43
2,24/12/2016,1325,6,2,1,Daylight,2,Calderdale,9,2,3,1,15
2,26/12/2016,2304,6,1,4,Dark,1,Calderdale,8,2,2,2,26
2,26/12/2016,2304,6,1,4,Dark,1,Calderdale,8,1,2,1,66
4,31/12/2016,2346,6,2,4,Dark,2,Calderdale,9,1,3,1,27
3,04/01/2015,1200,3,2,1,Daylight,1,Calderdale,1,1,3,1,18
3,04/01/2015,1200,3,2,1,Daylight,1,Calderdale,1,1,3,1,19
1,06/01/2015,1130,6,2,1,Daylight,2,Calderdale,8,2,3,1,2
1,07/01/2015,848,6,2,1,Daylight,1,Calderdale,21,1,2,1,64
2,07/01/2015,826,6,2,1,Daylight,1,Calderdale,9,1,3,1,29
2,09/01/2015,2335,3,4,1,Daylight,1,Calderdale,9,1,2,1,64
2,10/01/2015,2330,3,2,4,Dark,5,Calderdale,9,1,3,1,44
2,11/01/2015,1110,6,4,4,Dark,6,Calderdale,9,2,3,2,44
2,11/01/2015,1110,6,4,4,Dark,6,Calderdale,9,2,3,2,22
2,11/01/2015,1110,6,4,4,Dark,6,Calderdale,9,2,3,1,8
2,11/01/2015,1110,6,4,4,Dark,6,Calderdale,9,2,3,2,20
2,11/01/2015,1430,6,2,1,Daylight,1,Calderdale,9,1,3,1,18
2,12/01/2015,1118,1,2,1,Daylight,5,Calderdale,9,1,3,1,30
2,12/01/2015,1118,1,2,1,Daylight,5,Calderdale,9,1,3,2,32
2,14/01/2015,1557,6,2,1,Daylight,1,Calderdale,9,2,3,2,83
2,14/01/2015,1557,6,2,1,Daylight,1,Calderdale,8,1,3,1,42
2,14/01/2015,1557,6,2,1,Daylight,1,Calderdale,8,2,3,2,20
2,14/01/2015,1557,6,2,1,Daylight,1,Calderdale,9,1,2,1,82
1,15/01/2015,1615,6,1,1,Daylight,1,Calderdale,9,3,2,2,13
1,15/01/2015,1515,6,2,1,Daylight,2,Calderdale,9,3,3,1,66
2,17/01/2015,610,3,2,4,Dark,1,Calderdale,9,1,3,2,44
2,17/01/2015,610,3,2,4,Dark,1,Calderdale,9,1,3,1,38
3,20/01/2015,830,1,2,1,Daylight,8,Calderdale,9,1,3,1,29
3,20/01/2015,830,1,2,1,Daylight,8,Calderdale,9,1,3,2,29
2,21/01/2015,1328,6,3,1,Daylight,3,Calderdale,9,1,3,2,26
2,23/01/2015,1825,6,2,4,Dark,5,Calderdale,9,1,2,2,34
2,23/01/2015,1825,6,2,4,Dark,5,Calderdale,9,1,3,2,27
2,23/01/2015,1825,6,2,4,Dark,5,Calderdale,9,2,3,2,
3,26/01/2015,1112,6,1,1,Daylight,1,Calderdale,9,1,3,2,45
1,26/01/2015,1500,3,1,1,Daylight,1,Calderdale,9,3,3,1,57
1,27/01/2015,1637,4,1,4,Dark,1,Calderdale,9,1,3,1,18
1,27/01/2015,1637,4,1,4,Dark,1,Calderdale,9,2,3,1,17
1,27/01/2015,1637,4,1,4,Dark,1,Calderdale,9,2,3,1,16
1,27/01/2015,1637,4,1,4,Dark,1,Calderdale,9,2,3,1,17
1,28/01/2015,1604,4,2,1,Daylight,4,Calderdale,9,3,3,2,13
1,28/01/2015,1604,4,2,1,Daylight,4,Calderdale,9,3,3,2,37
1,28/01/2015,1735,6,2,4,Dark,5,Calderdale,9,3,3,1,16
2,30/01/2015,1000,4,2,1,Daylight,1,Calderdale,1,1,2,1,50
2,31/01/2015,955,3,1,1,Daylight,1,Calderdale,9,1,3,1,45
2,31/01/2015,955,3,1,1,Daylight,1,Calderdale,9,1,3,2,64
1,31/01/2015,1145,6,3,1,Daylight,1,Calderdale,9,3,3,1,79
2,04/02/2015,1310,3,1,1,Daylight,1,Calderdale,1,1,3,1,23
1,05/02/2015,1525,3,1,1,Daylight,1,Calderdale,9,1,3,2,68
1,06/02/2015,1215,6,1,1,Daylight,1,Calderdale,20,3,3,2,69
3,06/02/2015,2257,3,1,1,Daylight,1,Calderdale,9,1,3,1,48
1,08/02/2015,130,4,2,4,Dark,1,Calderdale,9,1,3,1,40
3,08/02/2015,1034,3,1,1,Daylight,1,Calderdale,9,2,3,2,7
3,08/02/2015,1034,3,1,1,Daylight,1,Calderdale,9,2,3,1,3
3,08/02/2015,1034,3,1,1,Daylight,1,Calderdale,9,2,3,2,36
3,08/02/2015,1034,3,1,1,Daylight,1,Calderdale,9,1,3,1,42
2,08/02/2015,1050,3,1,1,Daylight,1,Calderdale,9,1,3,1,47
1,09/02/2015,1005,6,1,1,Daylight,1,Calderdale,9,3,3,1,85
3,09/02/2015,1141,3,1,1,Daylight,1,Calderdale,9,1,2,2,66
3,09/02/2015,1141,3,1,1,Daylight,1,Calderdale,9,2,3,1,67
2,11/02/2015,1428,6,1,1,Daylight,1,Calderdale,9,1,3,1,33
1,13/02/2015,1109,1,2,1,Daylight,1,Calderdale,21,1,3,1,28
4,14/02/2015,2030,3,2,4,Dark,1,Calderdale,9,2,1,2,44
4,14/02/2015,2030,3,2,4,Dark,1,Calderdale,9,1,2,1,34
4,14/02/2015,2030,3,2,4,Dark,1,Calderdale,9,1,3,1,46
4,14/02/2015,2030,3,2,4,Dark,1,Calderdale,9,2,3,2,52
4,14/02/2015,2030,3,2,4,Dark,1,Calderdale,9,2,3,2,14
4,14/02/2015,2030,3,2,4,Dark,1,Calderdale,9,2,3,2,14
4,14/02/2015,2030,3,2,4,Dark,1,Calderdale,9,2,3,1,15
2,16/02/2015,1030,3,1,1,Daylight,1,Calderdale,9,1,3,1,68
2,16/02/2015,1239,3,1,1,Daylight,1,Calderdale,9,1,3,2,34
2,16/02/2015,1915,1,1,4,Dark,1,Calderdale,9,1,3,2,47
2,17/02/2015,1555,3,1,1,Daylight,1,Calderdale,3,1,3,1,29
1,18/02/2015,1505,6,1,1,Daylight,1,Calderdale,9,3,3,2,76
2,18/02/2015,1820,6,1,4,Dark,1,Calderdale,9,1,3,2,39
1,21/02/2015,1335,6,1,1,Daylight,1,Calderdale,9,3,2,2,76
2,25/02/2015,815,6,1,1,Daylight,1,Calderdale,9,1,3,2,36
2,27/02/2015,840,3,1,1,Daylight,1,Calderdale,9,1,3,1,45
2,27/02/2015,840,3,1,1,Daylight,1,Calderdale,9,1,3,2,45
2,27/02/2015,1515,6,1,1,Daylight,1,Calderdale,9,1,3,1,48
3,27/02/2015,2120,3,1,7,Dark,1,Calderdale,9,1,3,2,45
1,28/02/2015,1654,3,2,1,Daylight,2,Calderdale,9,1,3,1,22
1,28/02/2015,1654,3,2,1,Daylight,2,Calderdale,9,2,3,2,14
3,02/03/2015,740,6,4,1,Daylight,6,Calderdale,9,3,3,2,42
2,27/02/2015,1700,4,1,1,Daylight,1,Calderdale,9,1,3,2,58
2,05/03/2015,725,3,1,1,Daylight,1,Calderdale,1,1,3,1,27
3,06/03/2015,1526,6,1,1,Daylight,1,Calderdale,9,2,3,2,5
1,07/03/2015,1500,3,1,1,Daylight,1,Calderdale,9,3,2,2,61
1,07/03/2015,1741,6,1,4,Dark,1,Calderdale,9,3,3,1,9
2,07/03/2015,2153,3,1,4,Dark,1,Calderdale,9,2,2,2,25
2,08/03/2015,1610,6,1,1,Daylight,1,Calderdale,9,1,3,2,57
1,09/03/2015,940,6,1,1,Daylight,1,Calderdale,9,3,3,2,70
2,10/03/2015,713,3,1,1,Daylight,1,Calderdale,3,1,3,1,42
3,10/03/2015,1154,3,1,1,Daylight,1,Calderdale,9,1,2,1,82
1,10/03/2015,1350,6,1,1,Daylight,1,Calderdale,9,3,3,1,20
1,02/03/2015,1515,4,2,1,Daylight,1,Calderdale,9,3,3,2,29
2,11/03/2015,1245,3,2,1,Daylight,2,Calderdale,9,1,3,2,51
3,13/03/2015,845,1,2,1,Daylight,1,Calderdale,9,1,3,2,23
2,13/03/2015,855,3,2,1,Daylight,2,Calderdale,9,2,3,2,10
