Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Daylight/Dark,Weather Conditions,Local Authority ,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
3,16/03/2017,743,A644,Dry,1,Daylight,1,Calderdale,9,2,3,1,8
2,16/03/2017,1415,A58,Dry,1,Daylight,1,Calderdale,9,1,3,1,53
1,17/03/2017,1503,U,Wet/Damp,1,Daylight,2,Calderdale,9,3,3,2,50
1,17/03/2017,1605,A58,Dry,1,Daylight,1,Calderdale,21,3,3,2,45
2,17/03/2017,1315,M62,Dry,1,Daylight,4,Calderdale,9,1,3,2,43
2,19/03/2017,1508,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,22
2,20/03/2017,700,M62,Wet/Damp,7,Dark,5,Calderdale,9,1,3,2,21
2,20/03/2017,1550,A646,Dry,1,Daylight,1,Calderdale,9,1,3,1,57
1,21/03/2017,1231,A629,Dry,1,Daylight,1,Calderdale,9,3,3,2,83
1,21/03/2017,1552,A629,Wet/Damp,1,Daylight,1,Calderdale,9,2,3,1,19
1,22/03/2017,800,U,Wet/Damp,1,Daylight,2,Calderdale,9,3,3,2,13
2,23/03/2017,900,A644,Dry,1,Daylight,1,Calderdale,9,1,3,1,46
2,25/03/2017,1855,A629,Dry,4,Dark,1,Calderdale,9,2,3,1,3
2,26/03/2017,1353,U,Dry,1,Daylight,1,Calderdale,2,1,2,1,
2,29/03/2017,805,M62,Dry,1,Daylight,1,Calderdale,9,1,3,1,25
2,30/03/2017,444,A641,Wet/Damp,4,Dark,1,Calderdale,19,1,3,1,29
1,01/04/2017,1820,U,Dry,7,Dark,1,Calderdale,9,3,3,1,2
3,03/04/2017,1315,A646,Dry,1,Daylight,1,Calderdale,9,1,2,2,48
1,04/04/2017,840,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,9
2,05/04/2017,1913,A672,Dry,7,Dark,1,Calderdale,9,1,3,1,34
1,07/04/2017,22,M62,Dry,4,Dark,1,Calderdale,10,1,3,1,52
1,07/04/2017,1317,U,Dry,1,Daylight,1,Calderdale,9,2,3,2,9
2,07/04/2017,0,B6113,Dry,4,Dark,1,Calderdale,9,1,3,1,68
1,08/04/2017,26,U,Dry,4,Dark,1,Calderdale,9,1,2,1,26
1,08/04/2017,1320,A641,Dry,1,Daylight,1,Calderdale,5,1,3,2,35
2,09/04/2017,2142,U,Dry,4,Dark,1,Calderdale,9,1,3,1,18
2,31/03/2017,1130,A641,Dry,1,Daylight,1,Calderdale,9,2,3,2,63
2,11/04/2017,1356,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,45
1,11/04/2017,1610,U,Dry,1,Daylight,1,Calderdale,11,3,3,1,23
3,11/04/2017,1535,M62,Dry,1,Daylight,1,Calderdale,19,1,3,1,29
1,13/04/2017,1614,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,47
2,13/04/2017,2125,U,Dry,4,Dark,1,Calderdale,9,1,3,1,42
1,21/04/2017,1325,U,Dry,1,Daylight,1,Calderdale,9,3,3,2,46
1,23/04/2017,1232,M62,Dry,1,Daylight,1,Calderdale,9,1,2,2,58
2,23/04/2017,1835,U,Dry,7,Dark,1,Calderdale,9,1,3,1,5
2,25/04/2017,1700,U,Wet/Damp,7,Dark,1,Calderdale,9,1,3,1,29
3,25/04/2017,1755,M62,Dry,7,Dark,1,Calderdale,19,1,3,2,29
2,25/04/2017,1705,U,Wet/Damp,7,Dark,2,Calderdale,8,2,3,2,17
2,26/04/2017,605,U,Dry,7,Dark,1,Calderdale,1,1,3,1,25
2,27/04/2017,734,A629(M),Wet/Damp,1,Daylight,1,Calderdale,9,1,3,1,33
2,27/04/2017,1720,U,Dry,7,Dark,1,Calderdale,9,1,3,1,23
1,28/04/2017,943,M62,Dry,1,Daylight,1,Calderdale,9,1,3,1,59
2,28/04/2017,1600,A58,Dry,1,Daylight,1,Calderdale,9,1,3,1,39
2,28/04/2017,1446,U,Dry,1,Daylight,1,Calderdale,9,1,3,2,20
1,01/05/2017,1454,U,Dry,1,Daylight,1,Calderdale,9,3,2,2,
2,06/05/2017,1949,U,Dry,7,Dark,1,Calderdale,1,1,3,1,14
2,09/05/2017,1540,U,Dry,1,Daylight,1,Calderdale,3,1,3,1,18
2,09/05/2017,1740,A643,Dry,7,Dark,1,Calderdale,1,1,2,1,21
3,12/05/2017,900,A629,Dry,1,Daylight,1,Calderdale,8,1,3,2,25
1,12/05/2017,1515,A629,Wet/Damp,1,Daylight,1,Calderdale,9,3,3,2,33
2,13/05/2017,1701,U,Dry,7,Dark,1,Calderdale,9,1,2,1,17
2,20/05/2017,932,A641,Dry,1,Daylight,1,Calderdale,9,1,3,1,78
1,22/05/2017,1930,U,Dry,7,Dark,1,Calderdale,9,3,2,1,2
2,24/05/2017,735,A58,Dry,1,Daylight,1,Calderdale,9,1,3,1,44
1,23/05/2017,1230,U,Dry,1,Daylight,1,Calderdale,9,3,3,2,29
2,24/05/2017,1933,U,Dry,7,Dark,1,Calderdale,9,1,3,1,22
2,25/05/2017,640,A58,Dry,7,Dark,1,Calderdale,9,1,2,1,40
2,15/05/2017,1515,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,23
1,22/05/2017,1230,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,75
1,28/05/2017,700,U,Dry,7,Dark,1,Calderdale,9,2,3,1,36
2,30/05/2017,1809,B6112,Dry,7,Dark,1,Calderdale,9,1,3,1,58
2,31/05/2017,1933,U,Dry,7,Dark,1,Calderdale,9,1,3,1,39
1,01/06/2017,213,U,Dry,4,Dark,1,Calderdale,9,3,2,1,36
1,01/06/2017,325,U,Dry,6,,1,Calderdale,9,1,3,1,28
2,03/06/2017,1345,U,Dry,1,Daylight,1,Calderdale,9,3,2,2,6
1,03/06/2017,1805,U,Dry,7,Dark,1,Calderdale,8,2,3,2,44
2,05/06/2017,900,U,Wet/Damp,1,Daylight,2,Calderdale,21,1,3,1,18
1,06/06/2017,1430,M62,Wet/Damp,1,Daylight,5,Calderdale,9,1,3,2,23
2,06/06/2017,1453,U,Dry,1,Daylight,5,Calderdale,9,1,3,2,18
2,25/05/2017,1210,A641,Dry,1,Daylight,1,Calderdale,9,1,3,1,75
1,13/06/2017,1355,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,65
2,13/06/2017,1628,U,Dry,1,Daylight,1,Calderdale,9,1,3,2,63
4,15/06/2017,1341,M62,Dry,1,Daylight,1,Calderdale,9,2,3,1,71
2,16/06/2017,1630,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,84
3,16/06/2017,2230,B6113,Dry,4,Dark,1,Calderdale,9,1,3,1,38
2,19/06/2017,1630,U,Dry,1,Daylight,1,Calderdale,9,1,3,1,71
2,20/06/2017,713,A643,Dry,7,Dark,1,Calderdale,9,2,3,2,30
2,20/06/2017,752,A58,Dry,1,Daylight,1,Calderdale,4,1,3,1,
2,20/06/2017,1600,M62,Dry,1,Daylight,1,Calderdale,9,1,3,2,38
2,20/06/2017,1826,M62,Dry,7,Dark,1,Calderdale,19,1,3,1,20
1,21/06/2017,1750,U,Dry,7,Dark,1,Calderdale,9,1,3,1,19
1,22/06/2017,1656,A641,Dry,1,Daylight,1,Calderdale,9,3,1,1,57
3,23/06/2017,2023,A641,Wet/Damp,7,Dark,1,Calderdale,9,1,3,1,26
2,23/06/2017,2125,A62,Dry,7,Dark,1,Calderdale,9,2,3,2,38
1,24/06/2017,1032,B6113,Dry,1,Daylight,1,Calderdale,9,3,2,1,64
2,24/06/2017,1157,A58,Dry,1,Daylight,1,Calderdale,9,1,3,2,58
1,24/06/2017,1200,A646,Dry,1,Daylight,1,Calderdale,9,3,2,1,93
1,24/06/2017,1900,U,Dry,7,Dark,1,Calderdale,9,3,3,1,13
1,24/06/2017,2056,U,Dry,7,Dark,1,Calderdale,9,3,3,2,14
2,26/06/2017,1432,U,Dry,1,Daylight,1,Calderdale,9,1,3,2,30
3,28/06/2017,721,M62,Wet/Damp,7,Dark,2,Calderdale,9,1,3,1,25
2,29/06/2017,1800,U,Dry,7,Dark,1,Calderdale,9,1,3,1,7
3,29/06/2017,1215,A6139,Wet/Damp,1,Daylight,2,Calderdale,9,1,3,1,6
2,29/06/2017,1640,A641,Dry,1,Daylight,1,Calderdale,1,1,3,1,49
2,01/07/2017,1330,A58,Dry,1,Daylight,1,Calderdale,9,1,2,1,23
2,01/07/2017,1636,A629,Dry,1,Daylight,1,Calderdale,9,1,2,1,48
2,02/07/2017,1732,A646,Dry,7,Dark,1,Calderdale,1,1,3,1,39
1,02/07/2017,1520,U,Dry,1,Daylight,1,Calderdale,9,3,3,1,10
2,02/07/2017,2236,A646,Dry,4,Dark,1,Calderdale,9,1,3,2,30
2,03/07/2017,2200,U,Dry,7,Dark,1,Calderdale,19,1,3,1,43
1,07/07/2017,1341,U,Dry,1,Daylight,1,Calderdale,8,3,3,1,41
2,07/07/2017,2300,U,Dry,4,Dark,1,Calderdale,9,1,3,1,20
2,08/07/2017,1151,U,Dry,1,Daylight,1,Calderdale,9,2,3,2,44
3,08/07/2017,1207,B6112,Dry,1,Daylight,1,Calderdale,9,1,3,1,54
2,08/07/2017,1915,U,Dry,7,Dark,8,Calderdale,9,1,3,2,40
1,08/07/2017,1950,U,Dry,7,Dark,1,Calderdale,9,3,3,2,3
2,08/07/2017,2140,U,Dry,7,Dark,1,Calderdale,3,1,3,1,18
2,09/07/2017,1610,U,Dry,1,Daylight,1,Calderdale,1,1,3,1,14
1,09/07/2017,1642,U,Dry,1,Daylight,1,Calderdale,19,3,3,2,5
2,10/07/2017,1926,U,Dry,7,Dark,1,Calderdale,9,2,3,2,18
1,10/07/2017,1931,U,Dry,7,Dark,1,Calderdale,9,3,3,1,4
