"","Number.of.Vehicles","Accident.Date","Time..24hr.","X1st.Road.Class","Road.Surface","Lighting.Conditions","Daylight.Dark","Weather.Conditions","Local.Authority","Type.of.Vehicle","Casualty.Class","Casualty.Severity","Sex.of.Casualty","Age.of.Casualty"
"1",2,"01/01/2017",2120,"U","Wet/Damp",4,"Dark",2,"Calderdale",9,2,2,2,16
"2",2,"04/01/2017",1500,"U","Dry",1,"Daylight",1,"Calderdale",9,3,2,2,67
"3",2,"05/01/2017",732,"A58","Wet/Damp",4,"Dark",1,"Calderdale",9,1,3,1,56
"4",2,"05/01/2017",930,"A646","Wet/Damp",1,"Daylight",1,"Calderdale",4,1,1,1,20
"5",2,"14/01/2017",909,"U","Frost/Ice",1,"Daylight",1,"Calderdale",9,1,3,1,46
"6",1,"15/01/2017",1659,"U","Wet/Damp",4,"Dark",1,"Calderdale",9,3,3,1,NA
"7",1,"16/01/2017",1059,"A646","Wet/Damp",1,"Daylight",1,"Calderdale",9,3,3,2,25
"8",3,"19/01/2017",1849,"B6138","Dry",4,"Dark",1,"Calderdale",9,1,3,2,50
"9",1,"20/01/2017",1408,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,2,64
"10",1,"22/01/2017",1325,"A58","Wet/Damp",1,"Daylight",1,"Calderdale",9,1,3,2,22
"11",2,"24/01/2017",1126,"A629","Wet/Damp",1,"Daylight",2,"Calderdale",9,2,3,2,21
"12",2,"24/01/2017",1830,"A641","Dry",4,"Dark",1,"Calderdale",9,1,3,1,29
"13",2,"25/01/2017",1258,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,24
"14",3,"26/01/2017",1133,"A672","Wet/Damp",1,"Daylight",1,"Calderdale",19,1,3,1,29
"15",1,"26/01/2017",1546,"A6033","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,5
"16",1,"27/01/2017",1335,"U","Ice",1,"Daylight",1,"Calderdale",19,3,3,2,14
"17",2,"27/01/2017",1405,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,33
"18",2,"27/01/2017",2233,"U","Wet/Damp",4,"Dark",2,"Calderdale",9,1,3,1,28
"19",2,"27/01/2017",1835,"U","Wet/Damp",4,"Dark",1,"Calderdale",9,1,3,1,NA
"20",1,"29/01/2017",1430,"U","Wet/Damp",1,"Daylight",5,"Calderdale",9,3,3,2,27
"21",2,"29/01/2017",2230,"U","Wet/Damp",4,"Dark",7,"Calderdale",9,1,3,2,60
"22",1,"30/01/2017",1444,"U","Dry",1,"Daylight",1,"Calderdale",8,3,3,1,50
"23",2,"31/01/2017",1435,"A58","Wet/Damp",1,"Daylight",2,"Calderdale",9,1,3,2,40
"25",2,"01/02/2017",1400,"A6139","Wet/Damp",1,"Daylight",1,"Calderdale",9,1,3,2,48
"26",2,"02/02/2017",1045,"U","Wet/Damp",1,"Daylight",1,"Calderdale",9,1,3,2,76
"27",2,"02/02/2017",2200,"A58","Dry",4,"Dark",1,"Calderdale",9,1,3,1,22
"28",1,"03/02/2017",1806,"A646","Dry",4,"Dark",1,"Calderdale",9,3,3,2,14
"29",3,"04/02/2017",612,"A6033","Wet/Damp",4,"Dark",1,"Calderdale",9,1,2,1,26
"30",2,"04/02/2017",1310,"A644","Dry",1,"Daylight",1,"Calderdale",19,1,3,2,65
"31",1,"04/02/2017",1730,"A646","Dry",4,"Dark",1,"Calderdale",9,3,3,1,NA
"32",2,"05/02/2017",1227,"A62","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,51
"33",1,"07/02/2017",921,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,67
"34",2,"07/02/2017",1423,"B6114","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,28
"35",2,"07/02/2017",1546,"A6319","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,34
"36",1,"06/02/2017",1900,"U","Wet/Damp",4,"Dark",1,"Calderdale",9,3,3,2,14
"37",1,"08/02/2017",833,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,2,13
"38",1,"08/02/2017",1430,"A629","Wet/Damp",1,"Daylight",1,"Calderdale",9,3,2,2,76
"39",1,"08/02/2017",1730,"U","Dry",7,"Dark",1,"Calderdale",3,3,3,2,45
"40",2,"08/02/2017",1830,"U","Dry",4,"Dark",1,"Calderdale",9,1,3,2,30
"41",4,"11/02/2017",605,"B6112","Snow",4,"Dark",3,"Calderdale",9,1,3,1,35
"42",3,"12/02/2017",1338,"M62","Wet/Damp",1,"Daylight",6,"Calderdale",9,1,3,1,57
"43",3,"12/02/2017",1450,"A644","Wet/Damp",1,"Daylight",3,"Calderdale",9,1,3,1,26
"44",2,"13/02/2017",2243,"A58","Dry",4,"Dark",1,"Calderdale",9,1,3,1,24
"45",2,"15/02/2017",1225,"A646","Dry",1,"Daylight",1,"Calderdale",9,1,2,1,68
"46",2,"15/02/2017",1430,"A646","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,53
"47",1,"15/02/2017",1854,"U","Wet/Damp",4,"Dark",1,"Calderdale",9,3,3,2,11
"48",2,"18/02/2017",1440,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,25
"49",1,"18/02/2017",2330,"U","Wet/Damp",6,"",1,"Calderdale",8,3,2,2,39
"50",1,"19/02/2017",5,"A646","Wet/Damp",4,"Dark",2,"Calderdale",9,1,3,1,19
"51",3,"20/02/2017",1212,"A644","Wet/Damp",1,"Daylight",2,"Calderdale",9,1,3,2,74
"52",2,"21/02/2017",700,"B6114","Dry",7,"Dark",1,"Calderdale",9,2,3,1,21
"53",1,"22/02/2017",1939,"A681","Wet/Damp",6,"",2,"Calderdale",3,1,2,1,30
"54",1,"24/02/2017",1200,"U","Dry",1,"Daylight",4,"Calderdale",9,3,3,2,59
"55",1,"24/02/2017",2227,"B6113","Dry",4,"Dark",1,"Calderdale",9,2,3,2,17
"56",4,"28/02/2017",847,"M62","Wet/Damp",1,"Daylight",1,"Calderdale",9,1,2,1,35
"57",2,"04/03/2017",1500,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,46
"58",2,"07/03/2017",823,"A644","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,18
"59",2,"10/08/2017",940,"U","Wet/Damp",1,"Daylight",1,"Calderdale",9,2,3,2,48
"60",3,"16/03/2017",743,"A644","Dry",1,"Daylight",1,"Calderdale",9,2,3,1,8
"61",2,"16/03/2017",1415,"A58","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,53
"62",1,"17/03/2017",1503,"U","Wet/Damp",1,"Daylight",2,"Calderdale",9,3,3,2,50
"63",1,"17/03/2017",1605,"A58","Dry",1,"Daylight",1,"Calderdale",21,3,3,2,45
"64",2,"17/03/2017",1315,"M62","Dry",1,"Daylight",4,"Calderdale",9,1,3,2,43
"65",2,"19/03/2017",1508,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,22
"66",2,"20/03/2017",700,"M62","Wet/Damp",7,"Dark",5,"Calderdale",9,1,3,2,21
"67",2,"20/03/2017",1550,"A646","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,57
"68",1,"21/03/2017",1231,"A629","Dry",1,"Daylight",1,"Calderdale",9,3,3,2,83
"69",1,"21/03/2017",1552,"A629","Wet/Damp",1,"Daylight",1,"Calderdale",9,2,3,1,19
"70",1,"22/03/2017",800,"U","Wet/Damp",1,"Daylight",2,"Calderdale",9,3,3,2,13
"71",2,"23/03/2017",900,"A644","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,46
"72",2,"25/03/2017",1855,"A629","Dry",4,"Dark",1,"Calderdale",9,2,3,1,3
"73",2,"26/03/2017",1353,"U","Dry",1,"Daylight",1,"Calderdale",2,1,2,1,NA
"74",2,"29/03/2017",805,"M62","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,25
"75",2,"30/03/2017",444,"A641","Wet/Damp",4,"Dark",1,"Calderdale",19,1,3,1,29
"76",1,"01/04/2017",1820,"U","Dry",7,"Dark",1,"Calderdale",9,3,3,1,2
"77",3,"03/04/2017",1315,"A646","Dry",1,"Daylight",1,"Calderdale",9,1,2,2,48
"78",1,"04/04/2017",840,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,9
"79",2,"05/04/2017",1913,"A672","Dry",7,"Dark",1,"Calderdale",9,1,3,1,34
"80",1,"07/04/2017",22,"M62","Dry",4,"Dark",1,"Calderdale",10,1,3,1,52
"81",1,"07/04/2017",1317,"U","Dry",1,"Daylight",1,"Calderdale",9,2,3,2,9
"82",2,"07/04/2017",0,"B6113","Dry",4,"Dark",1,"Calderdale",9,1,3,1,68
"83",1,"08/04/2017",26,"U","Dry",4,"Dark",1,"Calderdale",9,1,2,1,26
"84",1,"08/04/2017",1320,"A641","Dry",1,"Daylight",1,"Calderdale",5,1,3,2,35
"85",2,"09/04/2017",2142,"U","Dry",4,"Dark",1,"Calderdale",9,1,3,1,18
"86",2,"31/03/2017",1130,"A641","Dry",1,"Daylight",1,"Calderdale",9,2,3,2,63
"87",2,"11/04/2017",1356,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,45
"88",1,"11/04/2017",1610,"U","Dry",1,"Daylight",1,"Calderdale",11,3,3,1,23
"89",3,"11/04/2017",1535,"M62","Dry",1,"Daylight",1,"Calderdale",19,1,3,1,29
"90",1,"13/04/2017",1614,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,47
"91",2,"13/04/2017",2125,"U","Dry",4,"Dark",1,"Calderdale",9,1,3,1,42
"92",1,"21/04/2017",1325,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,2,46
"93",1,"23/04/2017",1232,"M62","Dry",1,"Daylight",1,"Calderdale",9,1,2,2,58
"94",2,"23/04/2017",1835,"U","Dry",7,"Dark",1,"Calderdale",9,1,3,1,5
"95",2,"25/04/2017",1700,"U","Wet/Damp",7,"Dark",1,"Calderdale",9,1,3,1,29
"96",3,"25/04/2017",1755,"M62","Dry",7,"Dark",1,"Calderdale",19,1,3,2,29
"97",2,"25/04/2017",1705,"U","Wet/Damp",7,"Dark",2,"Calderdale",8,2,3,2,17
"98",2,"26/04/2017",605,"U","Dry",7,"Dark",1,"Calderdale",1,1,3,1,25
"99",2,"27/04/2017",734,"A629(M)","Wet/Damp",1,"Daylight",1,"Calderdale",9,1,3,1,33
"100",2,"27/04/2017",1720,"U","Dry",7,"Dark",1,"Calderdale",9,1,3,1,23
"101",1,"28/04/2017",943,"M62","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,59
"102",2,"28/04/2017",1600,"A58","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,39
"103",2,"28/04/2017",1446,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,20
"104",1,"01/05/2017",1454,"U","Dry",1,"Daylight",1,"Calderdale",9,3,2,2,NA
"105",2,"06/05/2017",1949,"U","Dry",7,"Dark",1,"Calderdale",1,1,3,1,14
"106",2,"09/05/2017",1540,"U","Dry",1,"Daylight",1,"Calderdale",3,1,3,1,18
"107",2,"09/05/2017",1740,"A643","Dry",7,"Dark",1,"Calderdale",1,1,2,1,21
"108",3,"12/05/2017",900,"A629","Dry",1,"Daylight",1,"Calderdale",8,1,3,2,25
"109",1,"12/05/2017",1515,"A629","Wet/Damp",1,"Daylight",1,"Calderdale",9,3,3,2,33
"110",2,"13/05/2017",1701,"U","Dry",7,"Dark",1,"Calderdale",9,1,2,1,17
"111",2,"20/05/2017",932,"A641","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,78
"112",1,"22/05/2017",1930,"U","Dry",7,"Dark",1,"Calderdale",9,3,2,1,2
"113",2,"24/05/2017",735,"A58","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,44
"114",1,"23/05/2017",1230,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,2,29
"115",2,"24/05/2017",1933,"U","Dry",7,"Dark",1,"Calderdale",9,1,3,1,22
"116",2,"25/05/2017",640,"A58","Dry",7,"Dark",1,"Calderdale",9,1,2,1,40
"117",2,"15/05/2017",1515,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,23
"118",1,"22/05/2017",1230,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,75
"119",1,"28/05/2017",700,"U","Dry",7,"Dark",1,"Calderdale",9,2,3,1,36
"120",2,"30/05/2017",1809,"B6112","Dry",7,"Dark",1,"Calderdale",9,1,3,1,58
"121",2,"31/05/2017",1933,"U","Dry",7,"Dark",1,"Calderdale",9,1,3,1,39
"122",1,"01/06/2017",213,"U","Dry",4,"Dark",1,"Calderdale",9,3,2,1,36
"123",1,"01/06/2017",325,"U","Dry",6,"",1,"Calderdale",9,1,3,1,28
"124",2,"03/06/2017",1345,"U","Dry",1,"Daylight",1,"Calderdale",9,3,2,2,6
"125",1,"03/06/2017",1805,"U","Dry",7,"Dark",1,"Calderdale",8,2,3,2,44
"126",2,"05/06/2017",900,"U","Wet/Damp",1,"Daylight",2,"Calderdale",21,1,3,1,18
"127",1,"06/06/2017",1430,"M62","Wet/Damp",1,"Daylight",5,"Calderdale",9,1,3,2,23
"128",2,"06/06/2017",1453,"U","Dry",1,"Daylight",5,"Calderdale",9,1,3,2,18
"129",2,"25/05/2017",1210,"A641","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,75
"130",1,"13/06/2017",1355,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,65
"131",2,"13/06/2017",1628,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,63
"132",4,"15/06/2017",1341,"M62","Dry",1,"Daylight",1,"Calderdale",9,2,3,1,71
"133",2,"16/06/2017",1630,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,84
"134",3,"16/06/2017",2230,"B6113","Dry",4,"Dark",1,"Calderdale",9,1,3,1,38
"135",2,"19/06/2017",1630,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,71
"136",2,"20/06/2017",713,"A643","Dry",7,"Dark",1,"Calderdale",9,2,3,2,30
"137",2,"20/06/2017",752,"A58","Dry",1,"Daylight",1,"Calderdale",4,1,3,1,NA
"138",2,"20/06/2017",1600,"M62","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,38
"139",2,"20/06/2017",1826,"M62","Dry",7,"Dark",1,"Calderdale",19,1,3,1,20
"140",1,"21/06/2017",1750,"U","Dry",7,"Dark",1,"Calderdale",9,1,3,1,19
"141",1,"22/06/2017",1656,"A641","Dry",1,"Daylight",1,"Calderdale",9,3,1,1,57
"142",3,"23/06/2017",2023,"A641","Wet/Damp",7,"Dark",1,"Calderdale",9,1,3,1,26
"143",2,"23/06/2017",2125,"A62","Dry",7,"Dark",1,"Calderdale",9,2,3,2,38
"144",1,"24/06/2017",1032,"B6113","Dry",1,"Daylight",1,"Calderdale",9,3,2,1,64
"145",2,"24/06/2017",1157,"A58","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,58
"147",1,"24/06/2017",1900,"U","Dry",7,"Dark",1,"Calderdale",9,3,3,1,13
"148",1,"24/06/2017",2056,"U","Dry",7,"Dark",1,"Calderdale",9,3,3,2,14
"149",2,"26/06/2017",1432,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,30
"150",3,"28/06/2017",721,"M62","Wet/Damp",7,"Dark",2,"Calderdale",9,1,3,1,25
"151",2,"29/06/2017",1800,"U","Dry",7,"Dark",1,"Calderdale",9,1,3,1,7
"152",3,"29/06/2017",1215,"A6139","Wet/Damp",1,"Daylight",2,"Calderdale",9,1,3,1,6
"153",2,"29/06/2017",1640,"A641","Dry",1,"Daylight",1,"Calderdale",1,1,3,1,49
"154",2,"01/07/2017",1330,"A58","Dry",1,"Daylight",1,"Calderdale",9,1,2,1,23
"155",2,"01/07/2017",1636,"A629","Dry",1,"Daylight",1,"Calderdale",9,1,2,1,48
"156",2,"02/07/2017",1732,"A646","Dry",7,"Dark",1,"Calderdale",1,1,3,1,39
"157",1,"02/07/2017",1520,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,10
"158",2,"02/07/2017",2236,"A646","Dry",4,"Dark",1,"Calderdale",9,1,3,2,30
"159",2,"03/07/2017",2200,"U","Dry",7,"Dark",1,"Calderdale",19,1,3,1,43
"160",1,"07/07/2017",1341,"U","Dry",1,"Daylight",1,"Calderdale",8,3,3,1,41
"161",2,"07/07/2017",2300,"U","Dry",4,"Dark",1,"Calderdale",9,1,3,1,20
"162",2,"08/07/2017",1151,"U","Dry",1,"Daylight",1,"Calderdale",9,2,3,2,44
"163",3,"08/07/2017",1207,"B6112","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,54
"164",2,"08/07/2017",1915,"U","Dry",7,"Dark",8,"Calderdale",9,1,3,2,40
"165",1,"08/07/2017",1950,"U","Dry",7,"Dark",1,"Calderdale",9,3,3,2,3
"166",2,"08/07/2017",2140,"U","Dry",7,"Dark",1,"Calderdale",3,1,3,1,18
"167",2,"09/07/2017",1610,"U","Dry",1,"Daylight",1,"Calderdale",1,1,3,1,14
"168",1,"09/07/2017",1642,"U","Dry",1,"Daylight",1,"Calderdale",19,3,3,2,5
"169",2,"10/07/2017",1926,"U","Dry",7,"Dark",1,"Calderdale",9,2,3,2,18
"170",1,"10/07/2017",1931,"U","Dry",7,"Dark",1,"Calderdale",9,3,3,1,4
"171",2,"13/07/2017",907,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,35
"172",1,"15/07/2017",1510,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,14
"173",2,"15/07/2017",2241,"A646","Dry",4,"Dark",1,"Calderdale",9,1,3,1,21
"174",2,"16/07/2017",1357,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,31
"175",2,"17/07/2017",849,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,9
"176",2,"19/07/2017",750,"A6036","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,35
"177",2,"19/07/2017",1114,"A644","Dry",1,"Daylight",1,"Calderdale",9,1,2,1,63
"178",2,"20/07/2017",843,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,38
"179",2,"20/07/2017",859,"B6112","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,29
"180",2,"21/07/2017",1758,"M62","Dry",7,"Dark",1,"Calderdale",9,1,3,2,26
"181",1,"24/07/2017",2328,"U","Dry",4,"Dark",1,"Calderdale",9,1,3,2,NA
"182",1,"29/07/2017",40,"U","Wet/Damp",4,"Dark",1,"Calderdale",8,1,3,1,49
"183",2,"30/07/2017",822,"U","Wet/Damp",1,"Daylight",2,"Calderdale",9,1,3,2,51
"184",2,"30/07/2017",1933,"U","Dry",7,"Dark",1,"Calderdale",19,1,3,1,7
"185",2,"01/08/2017",1020,"U","Dry",1,"Daylight",1,"Calderdale",19,1,3,1,47
"186",1,"05/08/2017",1550,"A58","Dry",1,"Daylight",1,"Calderdale",5,1,2,2,44
"187",2,"06/08/2017",1530,"A6033","Dry",1,"Daylight",1,"Calderdale",9,2,3,1,72
"188",1,"06/08/2017",1610,"A672","Wet/Damp",1,"Daylight",2,"Calderdale",9,1,3,2,31
"189",1,"06/08/2017",1530,"A672","Dry",1,"Daylight",1,"Calderdale",9,3,3,2,49
"190",2,"06/08/2017",2206,"U","Wet/Damp",4,"Dark",2,"Calderdale",9,1,3,1,37
"191",2,"08/08/2017",1814,"U","Wet/Damp",7,"Dark",1,"Calderdale",9,1,3,1,51
"192",2,"09/08/2017",735,"U","Dry",1,"Daylight",1,"Calderdale",1,1,3,1,37
"193",1,"09/08/2017",1110,"A646","Dry",1,"Daylight",1,"Calderdale",8,3,3,2,80
"194",2,"04/08/2017",1430,"U","Dry",1,"Daylight",1,"Calderdale",8,1,3,1,50
"195",2,"09/08/2017",1655,"A58","Dry",1,"Daylight",1,"Calderdale",11,1,2,1,49
"196",3,"11/08/2017",805,"A646","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,47
"197",2,"03/08/2017",2043,"U","Dry",4,"Dark",1,"Calderdale",9,1,2,1,62
"198",2,"13/08/2017",2050,"A629","Dry",4,"Dark",1,"Calderdale",8,1,3,1,34
"199",2,"13/08/2017",2146,"A6036","Dry",7,"Dark",1,"Calderdale",3,1,3,1,17
"200",2,"17/08/2017",1215,"A58","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,34
"201",2,"18/08/2017",2100,"U","Dry",6,"",4,"Calderdale",9,1,3,1,49
"202",1,"23/08/2017",1518,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,2,8
"203",1,"27/08/2017",609,"A58","Dry",7,"Dark",1,"Calderdale",9,1,2,1,60
"204",1,"27/08/2017",922,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,39
"205",2,"07/10/2017",1433,"A646","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,55
"206",1,"27/08/2017",1505,"A641","Dry",1,"Daylight",1,"Calderdale",9,3,2,1,24
"207",1,"27/08/2017",1657,"A58","Dry",1,"Daylight",1,"Calderdale",9,3,2,1,27
"208",2,"28/08/2017",929,"A672","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,46
"209",5,"30/08/2017",1706,"A646","Dry",7,"Dark",1,"Calderdale",9,1,3,1,46
"210",2,"30/08/2017",1721,"A641","Dry",7,"Dark",1,"Calderdale",5,1,2,1,52
"211",2,"01/08/2017",1615,"U","Dry",1,"Daylight",1,"Calderdale",3,1,3,1,20
"212",4,"01/09/2017",1058,"M62","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,52
"213",2,"01/09/2017",1455,"A6036","Dry",1,"Daylight",1,"Calderdale",5,1,3,1,62
"214",1,"01/09/2017",2128,"U","Dry",4,"Dark",1,"Calderdale",9,2,3,1,10
"215",1,"01/09/2017",2136,"A58","Dry",7,"Dark",1,"Calderdale",4,1,3,1,20
"216",2,"02/09/2017",1957,"U","Dry",4,"Dark",1,"Calderdale",9,1,3,2,24
"217",3,"04/09/2017",1240,"U","Dry",1,"Daylight",1,"Calderdale",11,1,3,2,44
"218",2,"04/09/2017",1455,"M62","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,46
"219",1,"04/09/2017",1630,"A646","Wet/Damp",1,"Daylight",1,"Calderdale",3,1,2,2,56
"220",2,"05/09/2017",645,"U","Wet/Damp",7,"Dark",2,"Calderdale",9,1,3,1,41
"221",3,"06/09/2017",2209,"U","Wet/Damp",7,"Dark",1,"Calderdale",9,1,3,1,45
"222",3,"07/09/2017",727,"U","Dry",7,"Dark",1,"Calderdale",9,1,3,2,61
"223",1,"08/09/2017",734,"M62","Wet/Damp",1,"Daylight",2,"Calderdale",9,1,3,2,23
"224",2,"08/09/2017",743,"U","Wet/Damp",1,"Daylight",2,"Calderdale",9,1,3,1,30
"225",2,"13/09/2017",828,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,53
"226",1,"08/09/2017",1755,"U","Dry",7,"Dark",1,"Calderdale",9,3,3,2,9
"227",2,"08/09/2017",2130,"M62","Wet/Damp",4,"Dark",2,"Calderdale",9,1,3,1,54
"228",1,"09/09/2017",1522,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,58
"229",2,"09/09/2017",1743,"A6033","Wet/Damp",7,"Dark",2,"Calderdale",9,1,3,2,61
"230",3,"10/09/2017",1608,"U","Wet/Damp",1,"Daylight",2,"Calderdale",1,1,3,1,22
"231",3,"11/09/2017",538,"M62","Wet/Damp",4,"Dark",2,"Calderdale",9,1,3,1,31
"232",4,"11/09/2017",1330,"M62","Wet/Damp",1,"Daylight",2,"Calderdale",9,2,3,2,64
"233",2,"11/09/2017",1838,"A629","Dry",7,"Dark",1,"Calderdale",9,1,2,1,31
"234",2,"13/09/2017",1935,"A58","Wet/Damp",4,"Dark",1,"Calderdale",9,1,3,1,21
"235",3,"15/09/2017",1214,"M62","Dry",1,"Daylight",1,"Calderdale",9,2,3,2,82
"236",2,"16/09/2017",1205,"U","Dry",1,"Daylight",1,"Calderdale",1,1,3,1,9
"237",2,"16/09/2017",1555,"U","Dry",1,"Daylight",1,"Calderdale",4,1,3,1,36
"238",2,"17/09/2017",1025,"U","Wet/Damp",1,"Daylight",1,"Calderdale",9,1,2,1,24
"239",2,"20/09/2017",1627,"B6113","Dry",1,"Daylight",1,"Calderdale",9,1,2,1,16
"240",2,"21/09/2017",1625,"U","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,12
"241",1,"22/09/2017",1617,"A58","Wet/Damp",1,"Daylight",2,"Calderdale",3,1,3,1,25
"242",1,"22/09/2017",725,"U","Dry",7,"Dark",1,"Calderdale",9,3,3,2,13
"243",2,"27/09/2017",1943,"U","Wet/Damp",4,"Dark",2,"Calderdale",9,1,2,1,23
"244",3,"28/09/2017",1205,"A646","Dry",1,"Daylight",1,"Calderdale",9,2,3,1,86
"245",2,"28/09/2017",2129,"U","Dry",4,"Dark",1,"Calderdale",9,1,3,1,36
"246",1,"26/09/2017",750,"A58","Dry",1,"Daylight",1,"Calderdale",11,3,3,1,63
"247",2,"16/09/2017",1300,"B6114","Dry",1,"Daylight",1,"Calderdale",1,1,3,1,60
"248",1,"29/09/2017",1843,"U","Dry",7,"Dark",1,"Calderdale",3,1,2,1,17
"249",1,"01/10/2017",1715,"U","Wet/Damp",7,"Dark",1,"Calderdale",9,3,2,1,8
"250",1,"03/10/2017",850,"A58","Wet/Damp",1,"Daylight",1,"Calderdale",9,3,3,1,NA
"251",2,"03/10/2017",1250,"A58","Dry",1,"Daylight",1,"Calderdale",9,1,2,1,22
"252",1,"04/10/2017",753,"A6036","Wet/Damp",1,"Daylight",5,"Calderdale",9,3,3,1,16
"253",1,"05/10/2017",1600,"A646","Dry",1,"Daylight",1,"Calderdale",5,1,3,1,47
"254",2,"05/10/2017",1700,"U","Wet/Damp",7,"Dark",1,"Calderdale",9,1,3,1,17
"255",2,"06/10/2017",620,"A6025","Dry",7,"Dark",1,"Calderdale",9,1,3,1,49
"256",2,"08/10/2017",1220,"A644","Dry",1,"Daylight",1,"Calderdale",9,1,3,1,38
"257",1,"06/10/2017",1418,"A641","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,90
"258",4,"07/10/2017",2122,"A647","Wet/Damp",4,"Dark",1,"Calderdale",9,1,3,1,31
"259",2,"09/10/2017",1640,"U","Dry",1,"Daylight",1,"Calderdale",5,1,1,1,42
"260",3,"09/10/2017",1730,"M62","Dry",7,"Dark",1,"Calderdale",21,1,3,2,32
"261",2,"10/10/2017",702,"U","Dry",7,"Dark",1,"Calderdale",1,1,2,1,41
"262",2,"10/10/2017",1745,"A644","Dry",7,"Dark",1,"Calderdale",9,1,3,2,25
"263",2,"11/10/2017",143,"A6026(M)","Wet/Damp",4,"Dark",1,"Calderdale",9,1,3,2,64
"264",1,"11/10/2017",1130,"U","Dry",1,"Daylight",1,"Calderdale",19,3,3,1,56
"265",1,"12/10/2017",611,"A6025","Dry",7,"Dark",1,"Calderdale",9,1,3,1,32
"266",2,"14/10/2017",12,"U","Dry",4,"Dark",1,"Calderdale",9,1,3,1,27
"267",2,"15/10/2017",1935,"A646","Dry",4,"Dark",1,"Calderdale",9,1,3,2,62
"268",2,"16/10/2017",1011,"M62","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,43
"269",1,"17/10/2017",1607,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,87
"270",1,"18/10/2017",1007,"U","Dry",1,"Daylight",1,"Calderdale",9,3,3,1,NA
"271",1,"19/10/2017",840,"A672","Dry",1,"Daylight",1,"Calderdale",9,1,3,2,33
"272",2,"14/10/2017",1130,"U","Dry",1,"Daylight",1,"Calderdale",9,2,3,1,29
"273",2,"21/10/2017",55,"A58","Dry",4,"Dark",1,"Calderdale",8,2,3,1,27
"274",4,"22/10/2017",1531,"U","Dry",1,"Daylight",1,"Calderdale",9,2,3,2,56
